dept,race,gender,salary
Houston Police Department-HPD,White,Male,45279
Houston Fire Department (HFD),White,Male,63166
Houston Police Department-HPD,Black,Male,66614
Public Works & Engineering-PWE,Asian,Male,71680
Houston Airport System (HAS),White,Male,42390
Public Works & Engineering-PWE,White,Male,107962
Houston Fire Department (HFD),Hispanic,Male,52644
Health & Human Services,Black,Male,180416
Public Works & Engineering-PWE,Black,Male,30347
Health & Human Services,Black,Male,55269
Houston Police Department-HPD,Black,Male,77076
Houston Police Department-HPD,White,Male,81239
Houston Police Department-HPD,White,Male,66614
Public Works & Engineering-PWE,White,Male,61506
Houston Fire Department (HFD),Black,Male,57815
Public Works & Engineering-PWE,Black,Male,43264
Houston Fire Department (HFD),White,Male,55437
Houston Police Department-HPD,Black,Male,52514
Houston Police Department-HPD,White,Male,61643
Houston Police Department-HPD,White,Male,66614
Houston Police Department-HPD,White,Male,81239
Public Works & Engineering-PWE,Black,Male,29557
Houston Fire Department (HFD),White,Male,62540
Houston Fire Department (HFD),Hispanic,Male,61921
Houston Police Department-HPD,White,Male,66614
Health & Human Services,Black,Female,34923
Public Works & Engineering-PWE,White,Female,60258
Health & Human Services,Asian,Female,67499
Public Works & Engineering-PWE,Black,Male,38168
Houston Fire Department (HFD),Hispanic,Male,43528
Houston Fire Department (HFD),White,Male,48190
Houston Fire Department (HFD),White,Male,48190
Houston Fire Department (HFD),Hispanic,Male,165216
Houston Police Department-HPD,White,Male,45279
Houston Police Department-HPD,White,Male,66614
Public Works & Engineering-PWE,Black,Male,43597
Public Works & Engineering-PWE,Black,Female,43618
Houston Fire Department (HFD),White,Male,62540
Houston Fire Department (HFD),White,Male,66523
Houston Fire Department (HFD),Hispanic,Male,61921
Houston Police Department-HPD,Hispanic,Male,81239
Houston Fire Department (HFD),Hispanic,Male,55437
Houston Airport System (HAS),Hispanic,Male,86297
Houston Fire Department (HFD),White,Male,63166
Houston Police Department-HPD,Black,Female,34757
Public Works & Engineering-PWE,Hispanic,Male,49483
Houston Airport System (HAS),White,Male,40144
Houston Airport System (HAS),Black,Male,28163
Public Works & Engineering-PWE,Hispanic,Male,30992
Houston Fire Department (HFD),Black,Female,96668
Houston Police Department-HPD,White,Male,81239
Public Works & Engineering-PWE,Black,Female,26125
Houston Airport System (HAS),White,Male,43826
Health & Human Services,White,Female,100791
Houston Police Department-HPD,Hispanic,Female,66614
Houston Police Department-HPD,White,Male,66614
Houston Police Department-HPD,Black,Male,66614
Health & Human Services,Hispanic,Female,31387
Houston Police Department-HPD,White,Male,66614
Houston Airport System (HAS),White,Female,36296
Houston Fire Department (HFD),White,Male,78355
Houston Police Department-HPD,Hispanic,Male,52514
Houston Police Department-HPD,Hispanic,Male,43443
Public Works & Engineering-PWE,Black,Female,30347
Public Works & Engineering-PWE,White,Male,44283
Houston Fire Department (HFD),White,Male,62540
Health & Human Services,Black,Female,48984
Houston Fire Department (HFD),White,Male,62540
Public Works & Engineering-PWE,Hispanic,Female,30347
Public Works & Engineering-PWE,Black,Male,53373
Houston Police Department-HPD,Hispanic,Male,66614
Public Works & Engineering-PWE,Hispanic,Male,52156
Parks & Recreation,Black,Female,26125
Houston Fire Department (HFD),Hispanic,Male,66523
Houston Police Department-HPD,Hispanic,Male,77076
Houston Police Department-HPD,Native American,Male,60347
Public Works & Engineering-PWE,Black,Male,29557
Public Works & Engineering-PWE,Black,Male,30139
Houston Airport System (HAS),Hispanic,Female,26125
Houston Fire Department (HFD),White,Male,66523
Houston Fire Department (HFD),Hispanic,Male,51194
Public Works & Engineering-PWE,Black,Female,45926
Houston Police Department-HPD,White,Male,66614
Houston Fire Department (HFD),Black,Male,62540
Houston Fire Department (HFD),White,Male,63166
Health & Human Services,Hispanic,Female,36650
Public Works & Engineering-PWE,Black,Male,41288
Houston Fire Department (HFD),Hispanic,Male,51194
Health & Human Services,Asian,Female,31554
Houston Police Department-HPD,White,Male,91181
Houston Police Department-HPD,Black,Female,66614
Public Works & Engineering-PWE,Hispanic,Male,30597
Health & Human Services,Black,Female,44200
Houston Fire Department (HFD),Black,Male,40170
Houston Fire Department (HFD),White,Male,62540
Houston Police Department-HPD,White,Male,66614
Health & Human Services,White,Male,59819
Houston Police Department-HPD,Hispanic,Male,81239
Houston Police Department-HPD,Hispanic,Female,43443
Houston Police Department-HPD,White,Male,66614
Houston Police Department-HPD,White,Male,81239
Houston Fire Department (HFD),Hispanic,Male,61921
Houston Police Department-HPD,White,Male,66614
Public Works & Engineering-PWE,Black,Male,38646
Houston Police Department-HPD,Black,Male,42000
Parks & Recreation,Black,Male,33592
Public Works & Engineering-PWE,Black,Male,52458
Houston Police Department-HPD,Asian,Male,77076
Houston Fire Department (HFD),Hispanic,Female,51194
Houston Police Department-HPD,White,Female,81239
Houston Police Department-HPD,Black,Female,36317
Health & Human Services,Hispanic,Female,30826
Houston Fire Department (HFD),Hispanic,Male,45791
Houston Police Department-HPD,Black,Male,66614
Houston Fire Department (HFD),White,Male,89590
Houston Airport System (HAS),Black,Male,52499
Public Works & Engineering-PWE,Black,Male,34798
Public Works & Engineering-PWE,Black,Female,35942
Houston Fire Department (HFD),Black,Male,52644
Houston Police Department-HPD,White,Male,60347
Houston Fire Department (HFD),White,Male,63166
Houston Police Department-HPD,Hispanic,Male,55461
Public Works & Engineering-PWE,Black,Male,31491
Houston Police Department-HPD,White,Male,55461
Houston Airport System (HAS),Black,Male,40435
Public Works & Engineering-PWE,Black,Male,30555
Houston Police Department-HPD,Asian,Male,62383
Parks & Recreation,Black,Male,30368
Public Works & Engineering-PWE,Black,Male,40435
Houston Airport System (HAS),Black,Male,43826
Houston Police Department-HPD,Black,Male,74511
Houston Police Department-HPD,Hispanic,Male,47650
Houston Police Department-HPD,Hispanic,Male,66614
Parks & Recreation,Black,Male,29307
Houston Police Department-HPD,Black,Male,81239
Houston Fire Department (HFD),Hispanic,Male,43528
Public Works & Engineering-PWE,Black,Male,56742
Houston Police Department-HPD,White,Male,66614
Houston Airport System (HAS),White,Male,120916
Parks & Recreation,Hispanic,Male,30347
Houston Police Department-HPD,White,Male,55461
Houston Fire Department (HFD),Hispanic,Male,61921
Houston Airport System (HAS),Black,Male,26125
Houston Fire Department (HFD),White,Male,66523
Houston Police Department-HPD,White,Male,66614
Houston Fire Department (HFD),White,Male,210588
Houston Police Department-HPD,Hispanic,Female,47650
Houston Police Department-HPD,Hispanic,Male,59530
Health & Human Services,Black,Female,45906
Houston Police Department-HPD,Black,Male,47650
Houston Police Department-HPD,White,Male,66614
Public Works & Engineering-PWE,Asian,Male,30347
Houston Police Department-HPD,White,Female,66614
Public Works & Engineering-PWE,White,Male,110881
Houston Police Department-HPD,Hispanic,Male,47650
Houston Police Department-HPD,Hispanic,Female,30451
Houston Fire Department (HFD),White,Male,57815
Houston Airport System (HAS),Hispanic,Male,39707
Public Works & Engineering-PWE,Hispanic,Male,28995
Houston Airport System (HAS),White,Male,69514
Public Works & Engineering-PWE,Black,Male,32344
Public Works & Engineering-PWE,White,Male,30992
Houston Police Department-HPD,Asian,Male,66614
Houston Police Department-HPD,Black,Female,66614
Health & Human Services,Black,Female,47382
Public Works & Engineering-PWE,Black,Female,39104
Houston Fire Department (HFD),Hispanic,Male,43528
Houston Airport System (HAS),Asian,Male,62432
Houston Fire Department (HFD),Hispanic,Male,57815
Houston Police Department-HPD,Asian,Male,55461
Health & Human Services,Hispanic,Female,43784
Houston Police Department-HPD,Asian,Male,27914
Houston Fire Department (HFD),White,Male,62540
Public Works & Engineering-PWE,Hispanic,Male,53123
Houston Police Department-HPD,Hispanic,Male,42370
Houston Police Department-HPD,White,Male,66614
Houston Police Department-HPD,White,Male,66614
Houston Fire Department (HFD),Hispanic,Male,62540
Public Works & Engineering-PWE,Black,Male,30347
Houston Fire Department (HFD),Hispanic,Female,58040
Houston Fire Department (HFD),White,Female,74270
Houston Police Department-HPD,White,Female,46675
Houston Police Department-HPD,Black,Female,59182
Houston Police Department-HPD,White,Female,66614
Public Works & Engineering-PWE,Black,Female,33987
Houston Fire Department (HFD),Native American,Male,78355
Public Works & Engineering-PWE,Hispanic,Male,47382
Houston Police Department-HPD,White,Male,81239
Houston Fire Department (HFD),White,Female,45791
Houston Police Department-HPD,White,Male,66614
Houston Police Department-HPD,Asian,Male,62338
Houston Police Department-HPD,Black,Male,66614
Public Works & Engineering-PWE,Black,Male,45490
Houston Police Department-HPD,White,Male,66614
Houston Fire Department (HFD),Hispanic,Male,66523
Houston Fire Department (HFD),Hispanic,Male,40170
Health & Human Services,Hispanic,Male,32802
Houston Police Department-HPD,Hispanic,Male,47650
Houston Police Department-HPD,Black,Male,42000
Public Works & Engineering-PWE,Hispanic,Male,38542
Houston Fire Department (HFD),White,Male,51194
Public Works & Engineering-PWE,Black,Female,35485
Houston Fire Department (HFD),Hispanic,Male,45791
Houston Airport System (HAS),Black,Male,26125
Houston Police Department-HPD,Black,Male,47650
Houston Fire Department (HFD),White,Male,66523
Houston Fire Department (HFD),White,Male,48190
Houston Police Department-HPD,Black,Male,55461
Health & Human Services,White,Female,81849
Houston Police Department-HPD,Black,Female,55461
Health & Human Services,Black,Female,30347
Houston Airport System (HAS),Black,Male,35277
Health & Human Services,Hispanic,Female,39312
Houston Airport System (HAS),White,Male,58677
Houston Fire Department (HFD),White,Male,62540
Houston Fire Department (HFD),White,Male,61921
Houston Fire Department (HFD),White,Male,66523
Houston Police Department-HPD,Hispanic,Male,66614
Health & Human Services,White,Female,34382
Houston Fire Department (HFD),White,Male,51194
Public Works & Engineering-PWE,Hispanic,Male,38438
Houston Police Department-HPD,Black,Male,66614
Houston Police Department-HPD,White,Male,43443
Houston Police Department-HPD,Hispanic,Male,66614
Houston Police Department-HPD,White,Male,52514
Public Works & Engineering-PWE,White,Male,54600
Public Works & Engineering-PWE,Black,Male,54995
Public Works & Engineering-PWE,Hispanic,Male,51584
Houston Fire Department (HFD),Black,Male,70181
Public Works & Engineering-PWE,Black,Male,59748
Public Works & Engineering-PWE,White,Male,141948
Houston Airport System (HAS),Black,Male,100228
Public Works & Engineering-PWE,Hispanic,Male,31450
Public Works & Engineering-PWE,Black,Male,45989
Health & Human Services,Black,Female,81972
Parks & Recreation,Hispanic,Male,33634
Houston Fire Department (HFD),White,Male,84995
Health & Human Services,Hispanic,Female,28434
Houston Police Department-HPD,Black,Male,66614
Houston Police Department-HPD,Hispanic,Male,77076
Houston Airport System (HAS),White,Female,51139
Houston Police Department-HPD,Hispanic,Male,45279
Public Works & Engineering-PWE,Black,Female,27373
Houston Police Department-HPD,Black,Male,55461
Houston Police Department-HPD,White,Male,91181
Houston Police Department-HPD,White,Male,66614
Houston Airport System (HAS),Hispanic,Female,68451
Parks & Recreation,Hispanic,Female,36920
Houston Police Department-HPD,White,Male,77076
Houston Fire Department (HFD),Hispanic,Female,45791
Houston Police Department-HPD,Black,Male,81239
Houston Airport System (HAS),White,Male,65832
Houston Police Department-HPD,Hispanic,Male,55461
Houston Police Department-HPD,Black,Male,50621
Houston Fire Department (HFD),Black,Male,52644
Houston Fire Department (HFD),Hispanic,Female,40170
Houston Fire Department (HFD),Hispanic,Male,51194
Houston Fire Department (HFD),White,Female,63166
Houston Fire Department (HFD),Hispanic,Male,48190
Houston Police Department-HPD,White,Male,47650
Houston Police Department-HPD,White,Female,60347
Houston Fire Department (HFD),White,Female,40170
Houston Police Department-HPD,Black,Male,61643
Health & Human Services,Hispanic,Female,32864
Public Works & Engineering-PWE,White,Male,56742
Public Works & Engineering-PWE,Black,Male,41288
Parks & Recreation,Black,Female,48090
Houston Police Department-HPD,White,Male,60347
Houston Police Department-HPD,Black,Male,66614
Houston Fire Department (HFD),Black,Male,51194
Houston Police Department-HPD,Asian,Male,61643
Public Works & Engineering-PWE,Black,Male,30597
Public Works & Engineering-PWE,Hispanic,Male,46800
Houston Police Department-HPD,Hispanic,Male,50621
Houston Fire Department (HFD),White,Male,61921
Public Works & Engineering-PWE,White,Male,63315
Houston Police Department-HPD,White,Male,66614
Public Works & Engineering-PWE,Hispanic,Female,30347
Public Works & Engineering-PWE,Black,Male,39978
Houston Police Department-HPD,Hispanic,Female,47650
Parks & Recreation,Black,Male,54600
Houston Police Department-HPD,Black,Female,86534
Houston Police Department-HPD,Hispanic,Female,37294
Houston Fire Department (HFD),White,Male,62540
Houston Police Department-HPD,White,Male,50621
Houston Fire Department (HFD),Hispanic,Male,55437
Houston Fire Department (HFD),Black,Male,66523
Houston Police Department-HPD,Black,Male,45279
Parks & Recreation,Black,Male,33488
Houston Fire Department (HFD),White,Male,51194
Public Works & Engineering-PWE,Black,Male,28995
Public Works & Engineering-PWE,Asian,Female,90716
Houston Airport System (HAS),Hispanic,Male,41808
Health & Human Services,Asian,Female,94149
Public Works & Engineering-PWE,White,Female,73783
Houston Police Department-HPD,Black,Male,81239
Houston Fire Department (HFD),Black,Male,55437
Houston Police Department-HPD,Hispanic,Female,45279
Houston Fire Department (HFD),Hispanic,Female,48190
Houston Fire Department (HFD),Hispanic,Male,51194
Public Works & Engineering-PWE,Black,Male,54600
Houston Police Department-HPD,White,Male,55461
Public Works & Engineering-PWE,White,Male,39478
Houston Police Department-HPD,White,Male,61643
Houston Police Department-HPD,Hispanic,Male,55461
Public Works & Engineering-PWE,Black,Female,28600
Public Works & Engineering-PWE,White,Male,44096
Houston Police Department-HPD,Black,Male,81239
Public Works & Engineering-PWE,Black,Female,60133
Health & Human Services,White,Male,52072
Houston Fire Department (HFD),White,Male,62540
Public Works & Engineering-PWE,Asian,Female,51168
Public Works & Engineering-PWE,Black,Male,32240
Public Works & Engineering-PWE,Hispanic,Female,33488
Houston Fire Department (HFD),White,Male,61921
Houston Police Department-HPD,Black,Male,45279
Houston Police Department-HPD,Asian,Male,50621
Houston Fire Department (HFD),White,Male,62540
Public Works & Engineering-PWE,Black,Male,53851
Houston Police Department-HPD,White,Male,104455
Houston Police Department-HPD,White,Male,55461
Houston Fire Department (HFD),Black,Male,52644
Houston Police Department-HPD,Black,Female,36317
Houston Police Department-HPD,Black,Male,27893
Public Works & Engineering-PWE,Black,Male,42266
Houston Police Department-HPD,Black,Female,44970
Houston Fire Department (HFD),White,Male,61226
Public Works & Engineering-PWE,Black,Male,35797
Houston Airport System (HAS),White,Female,88003
Houston Fire Department (HFD),White,Male,52644
Houston Police Department-HPD,Hispanic,Male,66614
Houston Fire Department (HFD),White,Male,55437
Health & Human Services,Black,Female,38189
Houston Police Department-HPD,White,Male,61643
Health & Human Services,Black,Female,76246
Public Works & Engineering-PWE,Hispanic,Female,40352
Houston Police Department-HPD,White,Male,66614
Houston Fire Department (HFD),White,Male,70181
Public Works & Engineering-PWE,Hispanic,Male,30597
Public Works & Engineering-PWE,Black,Female,39666
Houston Fire Department (HFD),White,Male,55437
Houston Fire Department (HFD),White,Male,89590
Health & Human Services,Hispanic,Female,30410
Health & Human Services,Black,Female,30597
Houston Airport System (HAS),White,Male,27851
Houston Police Department-HPD,White,Male,66614
Houston Fire Department (HFD),White,Male,55437
Houston Police Department-HPD,Black,Female,24960
Houston Police Department-HPD,Black,Male,47650
Health & Human Services,Hispanic,Female,34299
Health & Human Services,Black,Female,49379
Public Works & Engineering-PWE,Black,Male,51605
Public Works & Engineering-PWE,Black,Male,32968
Houston Airport System (HAS),Hispanic,Female,26125
Houston Police Department-HPD,Black,Female,66614
Houston Police Department-HPD,Black,Male,60347
Public Works & Engineering-PWE,Black,Female,35485
Houston Fire Department (HFD),White,Male,62540
Public Works & Engineering-PWE,Black,Female,30347
Health & Human Services,Black,Female,31470
Houston Police Department-HPD,White,Female,60347
Public Works & Engineering-PWE,White,Male,63461
Houston Police Department-HPD,Asian,Female,91181
Public Works & Engineering-PWE,Black,Female,70780
Houston Police Department-HPD,Asian,Male,81239
Houston Police Department-HPD,Hispanic,Male,61643
Houston Police Department-HPD,Black,Female,35318
Houston Fire Department (HFD),White,Male,40170
Houston Police Department-HPD,Hispanic,Male,50621
Health & Human Services,Hispanic,Female,29245
Houston Police Department-HPD,White,Male,81239
Public Works & Engineering-PWE,Black,Male,83744
Parks & Recreation,Black,Female,56826
Houston Fire Department (HFD),White,Male,61226
Public Works & Engineering-PWE,Hispanic,Male,26104
Public Works & Engineering-PWE,White,Male,59613
Houston Police Department-HPD,White,Male,66614
Houston Police Department-HPD,White,Male,66614
Houston Fire Department (HFD),White,Male,43528
Houston Fire Department (HFD),White,Male,61921
Public Works & Engineering-PWE,White,Male,93089
Public Works & Engineering-PWE,Asian,Male,64432
Public Works & Engineering-PWE,White,Female,53726
Houston Police Department-HPD,White,Male,66614
Public Works & Engineering-PWE,White,Female,34029
Health & Human Services,Hispanic,Female,28600
Houston Police Department-HPD,Hispanic,Male,66614
Houston Police Department-HPD,Hispanic,Male,61643
Houston Police Department-HPD,White,Male,66614
Houston Police Department-HPD,Black,Female,81239
Houston Police Department-HPD,Hispanic,Male,66614
Houston Fire Department (HFD),Hispanic,Male,48190
Houston Police Department-HPD,White,Male,81239
Public Works & Engineering-PWE,Black,Male,30992
Parks & Recreation,Black,Male,35027
Houston Police Department-HPD,Hispanic,Female,60347
Houston Airport System (HAS),Black,Female,110686
Houston Police Department-HPD,White,Male,66614
Public Works & Engineering-PWE,Black,Female,45157
Houston Police Department-HPD,Black,Female,52514
Houston Police Department-HPD,White,Male,43443
Houston Fire Department (HFD),Black,Male,28024
Houston Police Department-HPD,White,Female,66614
Public Works & Engineering-PWE,Black,Male,36130
Houston Police Department-HPD,White,Male,47650
Houston Fire Department (HFD),Hispanic,Male,66523
Houston Airport System (HAS),Black,Male,43826
Houston Police Department-HPD,Hispanic,Female,43443
Houston Fire Department (HFD),White,Male,61226
Public Works & Engineering-PWE,White,Male,54600
Houston Fire Department (HFD),White,Male,61226
Public Works & Engineering-PWE,Black,Male,34861
Public Works & Engineering-PWE,Black,Female,56992
Houston Fire Department (HFD),White,Male,45791
Houston Police Department-HPD,White,Male,50621
Houston Police Department-HPD,Black,Male,47650
Parks & Recreation,Hispanic,Male,26125
Health & Human Services,Hispanic,Female,38709
Public Works & Engineering-PWE,Black,Male,34320
Houston Police Department-HPD,Black,Male,35838
Health & Human Services,Black,Male,60496
Houston Police Department-HPD,Hispanic,Male,55461
Public Works & Engineering-PWE,White,Male,90716
Public Works & Engineering-PWE,Asian,Male,55695
Houston Fire Department (HFD),Hispanic,Male,55437
Houston Police Department-HPD,Black,Female,60347
Houston Police Department-HPD,Black,Male,61643
Houston Police Department-HPD,White,Male,66614
Houston Police Department-HPD,White,Female,61643
Houston Police Department-HPD,White,Female,81239
Public Works & Engineering-PWE,Black,Female,40851
Houston Fire Department (HFD),White,Male,61226
Public Works & Engineering-PWE,Black,Female,30347
Houston Fire Department (HFD),Hispanic,Male,61921
Public Works & Engineering-PWE,Black,Male,45926
Public Works & Engineering-PWE,White,Male,56576
Public Works & Engineering-PWE,White,Male,58157
Houston Police Department-HPD,Black,Female,55461
Houston Police Department-HPD,White,Male,55461
Public Works & Engineering-PWE,Black,Female,51563
Houston Fire Department (HFD),White,Male,61921
Public Works & Engineering-PWE,Black,Female,52957
Houston Airport System (HAS),Asian,Male,37003
Houston Police Department-HPD,Hispanic,Male,61643
Public Works & Engineering-PWE,White,Male,40622
Houston Police Department-HPD,White,Female,66614
Parks & Recreation,Hispanic,Male,36920
Houston Fire Department (HFD),Black,Male,61226
Public Works & Engineering-PWE,White,Female,105503
Houston Police Department-HPD,White,Female,99953
Public Works & Engineering-PWE,Hispanic,Male,63338
Public Works & Engineering-PWE,White,Female,90715
Houston Police Department-HPD,White,Male,60347
Public Works & Engineering-PWE,Black,Female,33488
Houston Police Department-HPD,White,Female,35318
Houston Airport System (HAS),Hispanic,Male,35318
Houston Police Department-HPD,White,Male,74511
Houston Airport System (HAS),Black,Female,150416
Houston Police Department-HPD,Hispanic,Male,66614
Houston Police Department-HPD,Asian,Male,61643
Houston Fire Department (HFD),Asian,Male,43528
Houston Police Department-HPD,Hispanic,Female,47650
Health & Human Services,Black,Female,45614
Houston Fire Department (HFD),White,Male,51194
Houston Fire Department (HFD),White,Male,63166
Houston Police Department-HPD,Hispanic,Male,61643
Houston Police Department-HPD,White,Male,66614
Houston Police Department-HPD,Black,Male,55461
Houston Police Department-HPD,Black,Female,29827
Houston Airport System (HAS),Black,Female,26125
Public Works & Engineering-PWE,White,Male,29765
Parks & Recreation,Hispanic,Male,29910
Parks & Recreation,Black,Male,26125
Houston Police Department-HPD,Black,Male,42000
Public Works & Engineering-PWE,Black,Female,32406
Health & Human Services,Black,Female,31387
Houston Fire Department (HFD),White,Male,70181
Public Works & Engineering-PWE,Black,Female,27373
Houston Police Department-HPD,Hispanic,Male,81239
Houston Fire Department (HFD),Hispanic,Male,61226
Houston Police Department-HPD,Hispanic,Male,50621
Public Works & Engineering-PWE,Hispanic,Male,31158
Public Works & Engineering-PWE,Hispanic,Male,84500
Houston Police Department-HPD,Black,Male,41621
Houston Fire Department (HFD),White,Male,40170
Health & Human Services,Hispanic,Male,31803
Houston Fire Department (HFD),Hispanic,Male,57815
Health & Human Services,Asian,Male,46010
Health & Human Services,White,Male,47362
Public Works & Engineering-PWE,Asian,Female,95950
Houston Fire Department (HFD),Hispanic,Male,78355
Houston Police Department-HPD,White,Male,45279
Public Works & Engineering-PWE,Black,Female,29931
Houston Police Department-HPD,Black,Male,66614
Public Works & Engineering-PWE,Black,Female,34757
Parks & Recreation,Hispanic,Female,42640
Parks & Recreation,Black,Female,57533
Houston Police Department-HPD,White,Male,66614
Public Works & Engineering-PWE,Black,Female,30347
Houston Police Department-HPD,Black,Female,32261
Houston Police Department-HPD,Hispanic,Female,47650
Houston Police Department-HPD,Hispanic,Male,66614
Houston Fire Department (HFD),White,Male,70181
Health & Human Services,Black,Female,63785
Parks & Recreation,Black,Male,28205
Houston Fire Department (HFD),White,Male,45791
Houston Police Department-HPD,White,Male,66614
Houston Fire Department (HFD),Hispanic,Male,40170
Houston Police Department-HPD,Hispanic,Male,60347
Public Works & Engineering-PWE,White,Female,98752
Public Works & Engineering-PWE,Black,Female,32968
