dept,race,gender,salary
Houston Airport System (HAS),Hispanic,Female,73635
Houston Fire Department (HFD),White,Male,45791
Public Works & Engineering-PWE,Hispanic,Female,29453
Houston Police Department-HPD,Asian,Female,50621
Houston Fire Department (HFD),Hispanic,Male,51194
Houston Police Department-HPD,White,Male,50621
Public Works & Engineering-PWE,White,Male,53123
Houston Fire Department (HFD),White,Male,40170
Houston Police Department-HPD,White,Male,45279
Public Works & Engineering-PWE,Black,Female,43867
Houston Police Department-HPD,Black,Male,42000
Public Works & Engineering-PWE,Black,Male,35318
Parks & Recreation,Black,Male,26125
Houston Fire Department (HFD),White,Male,70181
Houston Police Department-HPD,Black,Male,66614
Public Works & Engineering-PWE,Black,Male,34382
Houston Fire Department (HFD),White,Male,37918
Houston Fire Department (HFD),Black,Male,66523
Health & Human Services,Asian,Male,70864
Public Works & Engineering-PWE,Black,Female,36754
Houston Fire Department (HFD),White,Male,52644
Public Works & Engineering-PWE,White,Female,78728
Health & Human Services,White,Male,60082
Houston Fire Department (HFD),White,Male,61921
Houston Fire Department (HFD),White,Male,78355
Houston Police Department-HPD,Black,Female,55016
Houston Police Department-HPD,Black,Male,86534
Public Works & Engineering-PWE,Hispanic,Male,51563
Houston Police Department-HPD,White,Male,55461
Public Works & Engineering-PWE,Asian,Male,113930
Houston Police Department-HPD,Hispanic,Male,47650
Houston Fire Department (HFD),Hispanic,Male,63166
Houston Police Department-HPD,Black,Male,66614
Public Works & Engineering-PWE,Hispanic,Male,67038
Public Works & Engineering-PWE,Black,Female,33613
Houston Airport System (HAS),Hispanic,Female,28579
Houston Police Department-HPD,Hispanic,Male,61643
Houston Fire Department (HFD),White,Male,61921
Houston Police Department-HPD,White,Male,66614
Houston Police Department-HPD,Asian,Male,66614
Houston Fire Department (HFD),White,Male,40165
Houston Fire Department (HFD),Hispanic,Male,61921
Houston Police Department-HPD,Black,Female,66614
Houston Fire Department (HFD),White,Male,78355
Houston Police Department-HPD,White,Male,47650
Houston Police Department-HPD,Black,Male,27414
Houston Fire Department (HFD),Hispanic,Male,62540
Houston Police Department-HPD,Hispanic,Male,60347
Houston Fire Department (HFD),White,Male,63166
Houston Police Department-HPD,Hispanic,Male,31907
Houston Police Department-HPD,Black,Female,30618
Houston Fire Department (HFD),White,Male,48190
Houston Fire Department (HFD),Black,Male,28024
Public Works & Engineering-PWE,Hispanic,Female,33488
Houston Police Department-HPD,White,Male,47650
Houston Fire Department (HFD),White,Male,28024
Houston Police Department-HPD,White,Male,81239
Public Works & Engineering-PWE,Hispanic,Male,50606
Houston Police Department-HPD,Hispanic,Male,47650
Houston Fire Department (HFD),White,Male,70181
Houston Police Department-HPD,Hispanic,Male,47650
Public Works & Engineering-PWE,White,Female,54122
Houston Fire Department (HFD),Black,Male,71174
Public Works & Engineering-PWE,Black,Female,33488
Public Works & Engineering-PWE,Hispanic,Female,44575
Houston Police Department-HPD,White,Male,66614
Houston Police Department-HPD,Black,Female,60347
Houston Fire Department (HFD),White,Male,66523
Houston Police Department-HPD,Black,Female,53186
Houston Fire Department (HFD),White,Male,63166
Public Works & Engineering-PWE,Black,Male,38418
Houston Police Department-HPD,Asian,Male,47650
Houston Fire Department (HFD),Hispanic,Male,45791
Public Works & Engineering-PWE,White,Male,58816
Houston Airport System (HAS),Black,Male,33301
Parks & Recreation,Hispanic,Male,26125
Houston Fire Department (HFD),Black,Male,62540
Public Works & Engineering-PWE,Black,Female,30347
Health & Human Services,Black,Female,103270
Houston Police Department-HPD,White,Male,66614
Health & Human Services,Asian,Male,47050
Houston Fire Department (HFD),White,Male,70181
Houston Fire Department (HFD),White,Male,66523
Parks & Recreation,Hispanic,Male,26125
Houston Airport System (HAS),Asian,Female,26125
Public Works & Engineering-PWE,Black,Male,27102
Houston Fire Department (HFD),White,Male,62540
Houston Police Department-HPD,Black,Male,66614
Houston Police Department-HPD,Hispanic,Female,61643
Houston Airport System (HAS),Hispanic,Male,39125
Houston Airport System (HAS),Black,Male,39125
Houston Fire Department (HFD),Hispanic,Male,48190
Public Works & Engineering-PWE,White,Male,43514
Public Works & Engineering-PWE,Hispanic,Female,35485
Parks & Recreation,Black,Female,29682
Houston Police Department-HPD,Black,Female,55461
Houston Airport System (HAS),Hispanic,Male,73065
Houston Police Department-HPD,White,Female,66614
Houston Airport System (HAS),White,Male,49275
Public Works & Engineering-PWE,White,Male,49691
Public Works & Engineering-PWE,Black,Female,39208
Houston Airport System (HAS),White,Male,29286
Houston Fire Department (HFD),Black,Male,89590
Houston Police Department-HPD,Black,Male,52514
Houston Fire Department (HFD),Black,Male,55437
Parks & Recreation,White,Male,85055
Houston Police Department-HPD,Hispanic,Male,61643
Houston Fire Department (HFD),White,Male,62540
Houston Airport System (HAS),Black,Male,96325
Public Works & Engineering-PWE,Black,Female,35485
Houston Police Department-HPD,White,Male,66614
Health & Human Services,White,Female,33821
Public Works & Engineering-PWE,Hispanic,Female,60248
Public Works & Engineering-PWE,Black,Male,33987
Houston Fire Department (HFD),Hispanic,Female,41995
Public Works & Engineering-PWE,Hispanic,Male,32240
Houston Police Department-HPD,White,Male,55461
Houston Police Department-HPD,Hispanic,Male,55461
Houston Police Department-HPD,White,Male,60347
Parks & Recreation,Hispanic,Female,83916
Houston Airport System (HAS),Black,Female,39125
Houston Airport System (HAS),Asian,Male,77535
Houston Fire Department (HFD),White,Female,43014
Houston Fire Department (HFD),White,Male,70181
Public Works & Engineering-PWE,Hispanic,Male,36130
Houston Airport System (HAS),Hispanic,Male,57782
Houston Police Department-HPD,Asian,Male,55461
Houston Fire Department (HFD),White,Male,63166
Public Works & Engineering-PWE,White,Female,75224
Houston Fire Department (HFD),White,Male,66523
Houston Police Department-HPD,Hispanic,Male,66614
Houston Fire Department (HFD),White,Male,89590
Houston Police Department-HPD,White,Male,55461
Public Works & Engineering-PWE,Black,Male,65000
Houston Fire Department (HFD),White,Male,63166
Houston Police Department-HPD,Hispanic,Male,66614
Public Works & Engineering-PWE,Black,Female,74384
Houston Fire Department (HFD),White,Male,99480
Houston Fire Department (HFD),White,Male,48190
Houston Police Department-HPD,Black,Male,66614
Houston Police Department-HPD,White,Male,66614
Houston Police Department-HPD,Hispanic,Male,60347
Health & Human Services,Black,Male,54857
Houston Airport System (HAS),Black,Male,51501
Houston Fire Department (HFD),Hispanic,Male,43528
Houston Fire Department (HFD),White,Male,55437
Houston Police Department-HPD,Black,Female,91181
Houston Police Department-HPD,Black,Female,61643
Houston Fire Department (HFD),Black,Male,40170
Houston Fire Department (HFD),White,Male,89590
Houston Police Department-HPD,Black,Female,45677
Houston Police Department-HPD,Black,Female,35318
Parks & Recreation,Black,Female,40706
Health & Human Services,Black,Female,67782
Houston Fire Department (HFD),White,Male,66523
Houston Police Department-HPD,Black,Female,35318
Houston Police Department-HPD,White,Male,55461
Health & Human Services,Asian,Female,51861
Houston Police Department-HPD,White,Male,28169
Houston Fire Department (HFD),Black,Male,40170
Houston Police Department-HPD,Hispanic,Male,61643
Houston Fire Department (HFD),Hispanic,Male,62540
Houston Police Department-HPD,White,Male,77076
Houston Fire Department (HFD),Black,Male,74270
Houston Police Department-HPD,Hispanic,Female,26229
Houston Fire Department (HFD),White,Male,28024
Houston Police Department-HPD,Hispanic,Female,47650
Houston Police Department-HPD,White,Male,55461
Health & Human Services,Black,Female,47445
Houston Police Department-HPD,White,Male,43443
Houston Police Department-HPD,White,Male,81239
Houston Police Department-HPD,White,Male,55461
Houston Airport System (HAS),White,Male,39333
Health & Human Services,White,Female,36150
Public Works & Engineering-PWE,Black,Male,51397
Houston Police Department-HPD,White,Male,55461
Houston Police Department-HPD,White,Male,55461
Houston Fire Department (HFD),White,Male,70181
Houston Airport System (HAS),Hispanic,Female,26125
Houston Police Department-HPD,Hispanic,Male,81239
Houston Police Department-HPD,Black,Male,66614
Health & Human Services,Black,Female,42890
Houston Police Department-HPD,White,Female,81239
Houston Police Department-HPD,Black,Male,66614
Public Works & Engineering-PWE,Black,Male,26125
Houston Police Department-HPD,Hispanic,Male,28169
Houston Fire Department (HFD),Hispanic,Male,99480
Parks & Recreation,Asian,Male,48651
Houston Police Department-HPD,Asian,Male,55461
Houston Police Department-HPD,Native American,Male,55461
Public Works & Engineering-PWE,Hispanic,Male,61564
Houston Fire Department (HFD),Hispanic,Male,43528
Houston Police Department-HPD,Asian,Male,61643
Health & Human Services,Hispanic,Male,58406
Health & Human Services,Hispanic,Female,47445
Parks & Recreation,Black,Male,55462
Houston Fire Department (HFD),White,Male,62540
Houston Fire Department (HFD),White,Male,43528
Public Works & Engineering-PWE,Hispanic,Male,41184
Public Works & Engineering-PWE,Asian,Male,89955
Parks & Recreation,White,Male,57824
Health & Human Services,Black,Female,88361
Houston Police Department-HPD,Black,Male,55461
Houston Fire Department (HFD),White,Male,66523
Houston Police Department-HPD,White,Male,66614
Houston Airport System (HAS),Native American,Female,68299
Houston Airport System (HAS),White,Male,90832
Houston Police Department-HPD,Black,Female,66614
Houston Fire Department (HFD),Black,Male,51194
Houston Fire Department (HFD),White,Male,62540
Health & Human Services,Black,Female,30846
Houston Fire Department (HFD),Black,Male,61226
Public Works & Engineering-PWE,White,Female,52562
Houston Airport System (HAS),Black,Male,29286
Public Works & Engineering-PWE,White,Male,27352
Public Works & Engineering-PWE,Black,Male,60840
Houston Fire Department (HFD),Black,Male,63166
Houston Police Department-HPD,Black,Female,63551
Houston Fire Department (HFD),White,Male,70181
Houston Police Department-HPD,Black,Male,60347
Houston Police Department-HPD,White,Male,81239
Parks & Recreation,White,Male,46566
Houston Police Department-HPD,White,Male,66614
Houston Police Department-HPD,Hispanic,Male,81239
Public Works & Engineering-PWE,White,Female,66867
Houston Fire Department (HFD),White,Male,66523
Houston Fire Department (HFD),Black,Male,78355
Houston Police Department-HPD,Black,Female,91181
Houston Fire Department (HFD),Hispanic,Male,63166
Public Works & Engineering-PWE,Hispanic,Male,32136
Houston Fire Department (HFD),White,Male,63166
Houston Police Department-HPD,Hispanic,Male,66614
Houston Police Department-HPD,Black,Female,35318
Houston Police Department-HPD,Black,Male,66614
Houston Police Department-HPD,Black,Male,66614
Houston Airport System (HAS),Black,Male,45240
Houston Police Department-HPD,Hispanic,Male,81239
Houston Fire Department (HFD),Black,Male,57815
Public Works & Engineering-PWE,Asian,Male,53373
Houston Fire Department (HFD),Hispanic,Male,43528
Houston Fire Department (HFD),Hispanic,Male,51194
Public Works & Engineering-PWE,White,Male,98895
Houston Police Department-HPD,White,Female,55461
Houston Police Department-HPD,White,Male,66614
Houston Police Department-HPD,Hispanic,Male,66614
Houston Police Department-HPD,White,Male,81239
Health & Human Services,Black,Female,33675
Public Works & Engineering-PWE,Black,Female,36629
Houston Police Department-HPD,Hispanic,Male,47650
Houston Police Department-HPD,White,Male,61755
Houston Fire Department (HFD),White,Male,70181
Houston Police Department-HPD,Hispanic,Male,55461
Houston Fire Department (HFD),Hispanic,Male,70181
Health & Human Services,Asian,Male,54288
Houston Fire Department (HFD),White,Male,62540
Public Works & Engineering-PWE,White,Male,53123
Houston Police Department-HPD,White,Male,104455
Public Works & Engineering-PWE,White,Male,83734
Houston Airport System (HAS),Hispanic,Male,42099
Houston Fire Department (HFD),White,Male,40170
Houston Fire Department (HFD),White,Male,70181
Parks & Recreation,White,Male,26125
Houston Fire Department (HFD),White,Male,55437
Public Works & Engineering-PWE,Black,Male,52832
Parks & Recreation,Hispanic,Female,54607
Houston Police Department-HPD,Hispanic,Male,61643
Public Works & Engineering-PWE,White,Female,53061
Public Works & Engineering-PWE,Black,Male,45926
Houston Police Department-HPD,Black,Female,60347
Houston Police Department-HPD,White,Male,66614
Houston Police Department-HPD,Black,Male,66614
Public Works & Engineering-PWE,White,Male,57928
Houston Police Department-HPD,White,Male,42000
Houston Fire Department (HFD),White,Male,63166
Houston Fire Department (HFD),Black,Male,57815
Houston Police Department-HPD,White,Female,55411
Houston Police Department-HPD,Black,Male,55461
Public Works & Engineering-PWE,Black,Male,31450
Public Works & Engineering-PWE,White,Male,54600
Public Works & Engineering-PWE,Black,Male,33987
Houston Police Department-HPD,White,Male,45344
Public Works & Engineering-PWE,White,Male,51584
Houston Police Department-HPD,Black,Female,37336
Houston Police Department-HPD,White,Male,66614
Houston Fire Department (HFD),White,Male,52644
Public Works & Engineering-PWE,Black,Female,39270
Parks & Recreation,Black,Male,38147
Houston Fire Department (HFD),White,Male,62540
Houston Fire Department (HFD),White,Male,57815
Houston Police Department-HPD,Hispanic,Male,60347
Houston Police Department-HPD,Hispanic,Male,66614
Houston Fire Department (HFD),White,Male,78355
Public Works & Engineering-PWE,White,Male,52582
Houston Fire Department (HFD),Hispanic,Male,52644
Houston Airport System (HAS),Hispanic,Female,96157
Public Works & Engineering-PWE,White,Male,91063
Houston Police Department-HPD,White,Male,55461
Houston Police Department-HPD,Hispanic,Male,47650
Health & Human Services,Black,Female,36941
Public Works & Engineering-PWE,Black,Female,45240
Houston Airport System (HAS),Black,Female,37752
Houston Police Department-HPD,Hispanic,Male,81239
Houston Airport System (HAS),White,Male,103427
Parks & Recreation,Black,Female,30347
Public Works & Engineering-PWE,Black,Male,43326
Public Works & Engineering-PWE,Hispanic,Male,44658
Houston Fire Department (HFD),Black,Female,33405
Houston Fire Department (HFD),White,Male,66523
Public Works & Engineering-PWE,Black,Male,53373
Public Works & Engineering-PWE,Black,Male,31450
Houston Fire Department (HFD),White,Male,62540
Houston Police Department-HPD,Black,Male,81239
Public Works & Engineering-PWE,Black,Male,34320
Houston Police Department-HPD,White,Female,77076
Houston Airport System (HAS),Black,Female,33613
Houston Police Department-HPD,Hispanic,Female,47650
Houston Police Department-HPD,Asian,Male,47650
Public Works & Engineering-PWE,Black,Male,26125
Parks & Recreation,White,Male,29682
Houston Police Department-HPD,Hispanic,Male,55461
Houston Police Department-HPD,Black,Male,37024
Houston Fire Department (HFD),Hispanic,Male,55437
Houston Fire Department (HFD),White,Male,63166
Houston Police Department-HPD,Hispanic,Male,81239
Public Works & Engineering-PWE,Black,Male,73193
Houston Fire Department (HFD),Black,Male,51194
Public Works & Engineering-PWE,Black,Male,30139
Houston Police Department-HPD,Black,Male,61643
Houston Fire Department (HFD),White,Male,48190
Houston Fire Department (HFD),White,Male,89590
Houston Police Department-HPD,White,Male,66614
Houston Airport System (HAS),Hispanic,Male,35485
Houston Fire Department (HFD),Hispanic,Male,40170
Houston Police Department-HPD,White,Male,66614
Houston Police Department-HPD,White,Female,66614
Houston Police Department-HPD,White,Male,66614
Houston Police Department-HPD,Hispanic,Male,47650
Houston Fire Department (HFD),Hispanic,Male,74270
Public Works & Engineering-PWE,Asian,Male,45074
Public Works & Engineering-PWE,Black,Male,97581
Houston Fire Department (HFD),Hispanic,Male,52644
Public Works & Engineering-PWE,Black,Male,36130
Public Works & Engineering-PWE,Black,Female,29931
Houston Police Department-HPD,White,Male,81239
Health & Human Services,Black,Female,36358
Houston Fire Department (HFD),Black,Male,70181
Parks & Recreation,Black,Female,26125
Public Works & Engineering-PWE,Hispanic,Male,31158
Houston Police Department-HPD,Hispanic,Male,74511
Houston Police Department-HPD,White,Male,81239
Houston Fire Department (HFD),Black,Male,70181
Houston Police Department-HPD,Hispanic,Male,66614
Houston Police Department-HPD,Asian,Male,55461
Public Works & Engineering-PWE,Black,Female,29016
Houston Fire Department (HFD),Hispanic,Male,43528
Public Works & Engineering-PWE,Black,Male,26125
Houston Fire Department (HFD),White,Male,63166
Public Works & Engineering-PWE,Black,Male,49150
Houston Police Department-HPD,White,Male,55461
Houston Police Department-HPD,Black,Female,35318
Houston Police Department-HPD,Black,Female,63165
Public Works & Engineering-PWE,Black,Female,70717
Houston Police Department-HPD,Hispanic,Male,47650
Houston Fire Department (HFD),White,Female,55437
Health & Human Services,Black,Female,66178
Houston Fire Department (HFD),Hispanic,Male,70181
Houston Police Department-HPD,White,Male,66614
Public Works & Engineering-PWE,Hispanic,Female,52562
Houston Fire Department (HFD),White,Male,52644
Houston Police Department-HPD,White,Male,104455
Houston Police Department-HPD,Black,Male,61643
Public Works & Engineering-PWE,Black,Female,32178
Houston Police Department-HPD,White,Male,72332
Houston Police Department-HPD,White,Male,91181
Houston Police Department-HPD,Black,Male,55461
Houston Police Department-HPD,White,Male,55461
Houston Airport System (HAS),Hispanic,Male,40435
Houston Fire Department (HFD),White,Male,40170
Houston Fire Department (HFD),Black,Male,48190
Houston Fire Department (HFD),White,Male,89590
Houston Police Department-HPD,White,Male,55461
Houston Police Department-HPD,Hispanic,Male,61643
Public Works & Engineering-PWE,Asian,Male,114671
Public Works & Engineering-PWE,Black,Male,43264
Houston Police Department-HPD,Hispanic,Male,60347
Houston Police Department-HPD,White,Male,81239
Public Works & Engineering-PWE,Black,Male,49608
Houston Airport System (HAS),Asian,Male,32323
Houston Fire Department (HFD),White,Male,62540
Health & Human Services,Black,Female,83466
Public Works & Engineering-PWE,Black,Female,47008
Houston Fire Department (HFD),Hispanic,Male,28024
Houston Police Department-HPD,Hispanic,Male,66614
Health & Human Services,Hispanic,Female,26125
Public Works & Engineering-PWE,Asian,Male,47840
Health & Human Services,Black,Male,55806
Houston Airport System (HAS),Hispanic,Male,76097
Health & Human Services,Asian,Female,48672
Public Works & Engineering-PWE,Hispanic,Male,36629
Houston Police Department-HPD,Black,Male,43443
Public Works & Engineering-PWE,Hispanic,Male,28766
Houston Police Department-HPD,White,Male,81239
Houston Police Department-HPD,Hispanic,Male,55461
Public Works & Engineering-PWE,Black,Female,38750
Houston Fire Department (HFD),Hispanic,Male,66523
Houston Fire Department (HFD),Black,Male,63166
Public Works & Engineering-PWE,Black,Female,27352
Public Works & Engineering-PWE,Hispanic,Male,57200
Houston Fire Department (HFD),Hispanic,Male,70181
Houston Fire Department (HFD),Hispanic,Male,55437
Houston Fire Department (HFD),Hispanic,Male,61226
Public Works & Engineering-PWE,Black,Male,29557
Houston Fire Department (HFD),White,Male,78355
Houston Airport System (HAS),Hispanic,Male,115416
Houston Police Department-HPD,Black,Female,43722
Houston Fire Department (HFD),White,Male,61226
Public Works & Engineering-PWE,Black,Male,39666
Houston Police Department-HPD,Hispanic,Male,66614
Houston Airport System (HAS),Black,Male,29453
Health & Human Services,Black,Female,68432
Health & Human Services,Black,Male,47050
Houston Fire Department (HFD),Hispanic,Male,61921
Houston Police Department-HPD,Black,Male,66614
Houston Airport System (HAS),Hispanic,Female,32906
Houston Police Department-HPD,White,Female,30888
Public Works & Engineering-PWE,Black,Male,31158
Houston Police Department-HPD,Hispanic,Male,66614
Public Works & Engineering-PWE,White,Male,53123
Houston Fire Department (HFD),Black,Male,61226
Houston Fire Department (HFD),Black,Male,62540
Parks & Recreation,White,Male,29307
Health & Human Services,Hispanic,Female,27310
Public Works & Engineering-PWE,White,Female,83036
Houston Police Department-HPD,Hispanic,Male,81239
Houston Fire Department (HFD),Hispanic,Male,63166
Parks & Recreation,Hispanic,Male,47466
Houston Police Department-HPD,Black,Female,37211
Health & Human Services,Native American,Female,58855
Houston Fire Department (HFD),Black,Female,63166
Houston Fire Department (HFD),White,Male,61921
Health & Human Services,Black,Female,38563
Houston Police Department-HPD,White,Male,81239
Public Works & Engineering-PWE,Black,Male,83734
Houston Fire Department (HFD),Hispanic,Male,55437
Houston Fire Department (HFD),White,Male,48190
Houston Fire Department (HFD),White,Male,66523
Houston Airport System (HAS),White,Male,39707
Houston Airport System (HAS),Black,Male,75462
Houston Fire Department (HFD),White,Male,55437
Public Works & Engineering-PWE,Asian,Male,28995
Houston Police Department-HPD,Black,Male,42000
Public Works & Engineering-PWE,Hispanic,Male,39666
Health & Human Services,Black,Female,87222
Houston Police Department-HPD,Black,Female,47650
Houston Police Department-HPD,Black,Female,35838
Houston Airport System (HAS),Black,Male,26125
Houston Fire Department (HFD),White,Male,66523
Houston Police Department-HPD,Hispanic,Male,55461
Houston Police Department-HPD,Black,Male,81239
Houston Airport System (HAS),Black,Female,26125
Houston Police Department-HPD,Hispanic,Female,34216
Houston Fire Department (HFD),White,Male,66523
Houston Police Department-HPD,Black,Female,33550
Health & Human Services,Asian,Female,44366
Houston Police Department-HPD,White,Male,66614
Houston Police Department-HPD,Black,Female,26250
Houston Police Department-HPD,White,Male,55461
Public Works & Engineering-PWE,Black,Male,51584
Houston Police Department-HPD,Black,Female,66614
Public Works & Engineering-PWE,Black,Male,41267
Houston Airport System (HAS),White,Female,128606
Public Works & Engineering-PWE,Black,Female,93089
Houston Airport System (HAS),Hispanic,Male,43826
Public Works & Engineering-PWE,Black,Male,56489
Parks & Recreation,Hispanic,Female,41330
Houston Police Department-HPD,Black,Female,47650
Public Works & Engineering-PWE,White,Female,39666
Houston Police Department-HPD,White,Male,55461
Houston Police Department-HPD,Hispanic,Male,62481
Houston Police Department-HPD,White,Male,55461
Houston Police Department-HPD,Black,Female,37461
Public Works & Engineering-PWE,Black,Male,37606
Public Works & Engineering-PWE,Hispanic,Male,36962
Houston Police Department-HPD,White,Female,66614
Houston Fire Department (HFD),Black,Female,52000
Public Works & Engineering-PWE,Black,Male,43264
Houston Police Department-HPD,Asian,Male,55461
Houston Police Department-HPD,Black,Female,47996
Houston Police Department-HPD,White,Male,78286
Health & Human Services,White,Female,65338
Houston Police Department-HPD,Hispanic,Male,66614
Houston Police Department-HPD,Hispanic,Female,45279
Houston Fire Department (HFD),White,Male,63166
Public Works & Engineering-PWE,White,Male,77325
Houston Police Department-HPD,Black,Male,66614
Houston Airport System (HAS),Asian,Female,32157
Houston Police Department-HPD,White,Male,45279
Houston Police Department-HPD,Black,Female,27914
Houston Police Department-HPD,Hispanic,Male,66614
Houston Fire Department (HFD),Black,Male,70181
Houston Fire Department (HFD),Black,Male,55437
Houston Fire Department (HFD),White,Male,61921
Houston Police Department-HPD,White,Male,77076
Public Works & Engineering-PWE,Black,Male,37211
Parks & Recreation,Black,Female,30347
Houston Police Department-HPD,Hispanic,Female,44429
Houston Airport System (HAS),Hispanic,Male,29286
Houston Police Department-HPD,White,Male,81239
Houston Police Department-HPD,Black,Male,104455
Houston Police Department-HPD,White,Male,43443
Houston Fire Department (HFD),Black,Male,66523
Houston Police Department-HPD,White,Male,43443
Houston Police Department-HPD,Asian,Male,55461
Houston Fire Department (HFD),Hispanic,Male,51194
